coenti;ramos;UF; premio_dir ;Filtro
4367;993;SP;14.970.100,40;S
4421;977;SP;33.593.928,90;S
4421;982;SP;39.292,80;S
4421;993;SP;6.244.093,60;S
4421;1198;RN;242.005,70;S
4421;1381;ES;32.380,50;S
4481;171;ES;196.269,90;S
4481;195;ES;1.734.627,10;S
4481;1377;BA;111.566,00;S
4669;114;SP;21.603,90;S
4669;115;PE;388.800,00;S
4669;118;SP;73.270,80;S
4669;141;BA;137.533,10;S
4669;167;PB;1.738.044,00;S
4669;171;SP;192.307,80;S
4669;196;RJ;462.605,70;S
4669;234;BA;746.235,80;S
4669;310;SP;298.692,00;S
4669;313;SP;11.033,20;S
4669;351;SP;2.265.702,20;S
4669;378;SP;447.344,30;S
4669;621;SP;440.617,90;S
4669;622;MT;1.341.841,70;S
4669;652;SP;125.685,60;S
4669;654;SP;1.151.309,90;S
4669;655;SP;577.127,90;S
4669;656;AM;106.400,00;S
4669;743;SP;98.189,10;S
4669;746;PR;64.505,60;S
4669;748;SP;116.828,10;S
4669;775;SP;11.511.832,00;S
4669;776;SP;1.031.494,40;S
4669;977;SP;75.669,00;S
4669;982;PR;137.040,50;S
4669;993;CE;39.867,80;S
4669;1101;SP;364.664,80;S
4669;1103;SP;384.091,30;S
4669;1105;SP;348.526,10;S
4669;1107;RS;5.565.569,20;S
4669;1130;MT;48.910,60;S
4669;1162;RS;43.428,20;S
4669;1164;SP;465.229,80;S
4669;1417;MS;143.694,00;S
4669;1428;MT;1.959.303,50;S
4669;1433;MT;3.715.376,00;S
4669;1528;SP;64.391,40;S
4669;1535;SP;224.973,00;S
4669;1597;TO;192.266,80;S
4669;1734;RS;1.823.421,00;S
4669;1872;RJ;29.294.384,50;S
4707;1391;MA;33.534,50;S
4707;1392;SP;1.005.184.729,90;S
4740;994;SP;1.870.717,60;S
4740;1392;SP;19.843.326,30;S
4782;378;SC;108.839,00;S
4782;746;MG;58.013,70;S
4782;775;GO;316.817,20;S
4782;776;RJ;226.588,40;S
4782;1101;MA;789.693,80;S
4928;118;SP;511.145,20;S
4928;167;CE;2.756.019,10;S
4928;171;SP;875.019,90;S
4928;196;SC;72.321.890,10;S
4928;310;MG;867.704,00;S
4928;313;MA;1.210.942,40;S
4928;351;SE;2.138.061,80;S
4928;378;ES;67.171,20;S
4928;621;MT;5.532.074,10;S
4928;622;SP;3.032.471,10;S
4928;632;MS;19.279,90;S
4928;654;PA;252.343,60;S
4928;655;RS;582.183,00;S
4928;969;SP;21.051,10;S
4928;982;PR;12.836,90;S
4928;993;SP;146.243,50;S
4928;1369;SP;2.270.613,00;S
4928;1528;RJ;716.238,60;S
4928;1535;MG;10.591.977,20;S
4928;1537;SP;3.913.058,80;S
4952;531;SP;4.572.483,00;S
4952;542;SP;3.162.546,00;S
4952;553;SP;1.217.898,30;S
5045;993;BA;58.286,70;S
5070;929;SP;6.254.798,10;S
5070;977;SP;57.996.493,60;S
5070;982;SP;43.038.163,30;S
5070;984;SP;4.852.916,50;S
5070;990;SP;577.027,70;S
5070;993;SP;31.848.561,30;S
5070;994;SP;393.172,80;S
5070;1198;RN;54.065,00;S
5070;1377;DF;25.033,90;S
5070;1392;SP;202.531.825,60;S
5096;929;SP;232.161,90;S
5096;982;SP;3.580.905,60;S
